path	case	arm	route	timer	median_ns	attempted	status	summary_status	admission_eligible	completion_status	cache_contract	verification_status	collection_mode	product_identity	image	source_identity	harness_identity	seed	pseudorandom	topology	wall_ns	command_wall_ns	cleanup_status	reused_proof_identities	omissions	setup_policy	layerstack_init_ns	setup_ns	teardown_ns	regular_files	tiny_files	small_files	medium_files	empty_files	anchor_files	anchor_bytes	logical_bytes	scanned_files	scanned_bytes	candidate_objects	candidate_bytes	inserted_objects	inserted_bytes	store_database_bytes	store_canonical_bytes	init_bytes_per_second	init_files_per_second	initialization_user_cpu_ns	initialization_system_cpu_ns	initialization_disk_read_bytes	initialization_disk_write_bytes	initialization_context_switches	process_t1_peak_rss_bytes	fixture_cache_profile	measurement_mode	initialize_admission_transactions	initialize_batch_inserted_objects
benchmark-results/host-store/issue118/20260912/issue116-compact-k32000/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	31764829608	1	TARGET_MISS	TARGET_MISS	False	COMPLETE		NOT_RUN	False	62a4c99e2eaa9eba958fe47d2ed03ed2b94318f6ae755cc9ffe58cb1f12f59fe	sha256:8496154d067712cd4ae6ad06d41b1efa81bda1fe84f67a41f64c9cfd1d9550bb	1023de9e50ee887e53ed573de18575789179c8f7a5c731160ae82627406af41b	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	38541334792	36801788833	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/edit-pair-inactive-6-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	361444258	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	5949582750	4630520875	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/namespace-qualification/candidate2/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	3769590584	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:baf6beb12e415e789abf173364a63817ac59674dd2cbae21309acf94a334f056	e162aecd2b351811b7fd49aa1bb57638c9a89681cda59df4ca97dc32e172ca17	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	22670138125	4233368917	PASS	[]	[]	fresh-output	3769590584	337789333	79473458	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515497984	513026835	132640399	26528	3363297417	4640782416	866320384	13508608	111879	81313792	reused-first-sample-uncontrolled	init-only-diagnostic	127	112320
benchmark-results/host-store/issue118/20260912/namespace-qualification/candidate3/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	3823239291	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:baf6beb12e415e789abf173364a63817ac59674dd2cbae21309acf94a334f056	e162aecd2b351811b7fd49aa1bb57638c9a89681cda59df4ca97dc32e172ca17	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	22511525834	4251780167	PASS	[]	[]	fresh-output	3823239291	341886250	49233917	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515518464	513026835	130779153	26155	3360676417	4730420709	872267776	9330688	112719	80216064	reused-first-sample-uncontrolled	init-only-diagnostic	127	112435
benchmark-results/host-store/issue118/20260912/edit-pair-inactive-3-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	386761331	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	6086894792	4962938667	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue118/20260912/cold-openat-screen-candidate/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	3900015708	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:7c249dbc7c81f9809fdb62d90da0969790f219c66f3e8fc3ef990f0b260d4143	f4805ec8094702e60fcf92662c393260893dfb0bd88c5e6a2b45f3b296cde580	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	22082524667	4335240667	PASS	[]	[]	fresh-output	3900015708	338164000	69660833	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515506176	513026835	128204611	25640	3404624250	4883198541	873037824	9314304	118543	85032960	reused-first-sample-uncontrolled	init-only-diagnostic	127	112445
benchmark-results/host-store/issue118/20260912/namespace-qualification/candidate1/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	3926466875	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:baf6beb12e415e789abf173364a63817ac59674dd2cbae21309acf94a334f056	e162aecd2b351811b7fd49aa1bb57638c9a89681cda59df4ca97dc32e172ca17	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	21519637750	4279901375	PASS	[]	[]	fresh-output	3926466875	298513334	26236084	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515567616	513026835	127340944	25468	3285793333	4676188958	872284160	9527296	112295	81707008	reused-first-sample-uncontrolled	init-only-diagnostic	127	112417
benchmark-results/host-store/issue118/20260912/edit-pair-inactive-2-candidate/perf.jsonl	namespace-100000	candidate	namespace	edit_commit_ns	402517498	1	PASS	PASS	False	COMPLETE		NOT_RUN	True	a5f72e1b80516c913370adec514cb9ca373f50d4cdef53b67bb14d31e1d354e3	sha256:8bf04540e9ea5b7d22569bbdf5bbbc1b88f107b6340529c94c522373cc83b6ca	5196234c473dd010b36e169914cecc494f03697be19ba9faeb0517993a4d65fe	3164ba98189a9fef87959e59c0daa37bde8d1c6fb5122a957114d77ade9e6e8b	1	True	host-store	5980694375	4866570083	PASS	[]	[]	fresh-output																															
benchmark-results/host-store/issue120/performance/init_namespace/namespace-100000/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	4397542208	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	276c5970aabf485594d90ae30920b3cdb310134a7572589c558063a9d52ce093	sha256:c83085b897e272204e5477e66b33ec9b328af568299448872441e7a676ce1761	a555211fdc6e96e025764eba2c2c36f709baa7e9446840a07a8669935252fec3	15eccc8e319fc8265de9ff98ec68718cc6dc28a15e954d56d5ddb7ba806dd72d	1	True	host-store	31614999042	4918665583	PASS	[]	[]	fresh-output	4397542208	383334375	95354959	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515469312	513026835	113699875	22739	3338539583	5367637250	875331584	9314304	116120	85475328	reused-first-sample-uncontrolled	init-only-diagnostic	127	112350
benchmark-results/issue152/g1/namespace-100000-r4/perf.jsonl	namespace-100000	candidate	namespace	layerstack_init_ns	4986155625	1	TARGET_MISS	TARGET_MISS	False	COMPLETE	namespace-100000-cold-v2	NOT_RUN	True	31a42c95197a21c5acd54cb12e7398bd8cb5308fab916e62b9439ca0a17bf01d	sha256:f0c86469d31f0841e103626d20aea144866935df90b25075c87b7011009cf852	0debfccbfe56516fe32efd906d90a98f42cc023c28be7b8861a13267f893eab7	daa74be0c3a0b40a824617a6403c70ce4e7be115e7c47f4f1faf26029c55b044	1	True	host-store	51757274583	5694961583	PASS	[]	[]	fresh-output	4986155625	324072583	338120000	100000	78998	15000	5000	1000	2	200000000	500000000	100000	500000000	112451	513026835	112451	513026835	515366912	513026835	100277656	20055	3329882167	6405836833	887242752	13508608	121304	83181568	reused-first-sample-uncontrolled	init-only-diagnostic	127	112324
