case,family,status,tier,profile,declared_bytes,declared_entries,preparation_ns,acquisition_ns,operation_ns,verification_ns,cleanup_ns,handoff_ns,verification_invocation_ns,complete_command_ns,heap_peak_incremental_bytes,space_apparent_bytes,space_allocated_bytes
namespace-100000,c1.fs.build-scale,PASS,binary,-,0,100000,201915000,0,4356508875,141613250,625,0,0,4708343667,2525874,,
namespace-100000-text-v1,c1.fs.build-scale,PASS,text,text-v1,0,100000,199419958,0,4299791584,142829125,500,0,0,4649930500,2525946,,
namespace-subtree-relocate-delete-1-mixed-v4,c1.tree.namespace-mutation,PASS,1,mixed-v4,0,1,167375,0,32875,98916,84,0,0,5405125,5640,,
namespace-subtree-relocate-delete-10-mixed-v4,c1.tree.namespace-mutation,PASS,10,mixed-v4,0,10,241625,0,50708,157417,125,0,0,5343333,12037,,
namespace-subtree-relocate-delete-100-compact-v2,c1.tree.namespace-mutation,PASS,100,compact-v2,0,100,440583,0,212958,553417,125,0,0,6288125,72791,,
namespace-subtree-relocate-delete-500-compact-v2,c1.tree.namespace-mutation,PASS,500,compact-v2,0,500,1034125,0,691750,1164625,125,0,0,8273875,189736,,
overwrite-fixed-64k-chunk-count-decrease-100m,c1.cdc.chunk-count,PASS,100m,-,104857600,0,140522667,0,293375,297987708,792,0,0,448330083,171190,,
overwrite-fixed-64k-chunk-count-decrease-10m,c1.cdc.chunk-count,PASS,10m,-,10485760,0,15652458,0,284833,22000833,333,0,0,46136000,138662,,
overwrite-fixed-64k-chunk-count-decrease-1m,c1.cdc.chunk-count,PASS,1m,-,1048576,0,2157042,0,226667,2395833,84,0,0,12278833,135522,,
overwrite-fixed-64k-chunk-count-decrease-500m,c1.cdc.chunk-count,PASS,500m,-,524288000,0,735248667,0,417583,1518157875,1083,0,0,2270112583,144690,,
overwrite-fixed-64k-chunk-count-increase-100m,c1.cdc.chunk-count,PASS,100m,-,104857600,0,139990708,0,323000,220299250,584,0,0,369972958,187360,,
overwrite-fixed-64k-chunk-count-increase-10m,c1.cdc.chunk-count,PASS,10m,-,10485760,0,15243083,0,267333,22068041,417,0,0,44873084,142086,,
overwrite-fixed-64k-chunk-count-increase-1m,c1.cdc.chunk-count,PASS,1m,-,1048576,0,2480167,0,234000,2503166,42,0,0,12596709,199322,,
overwrite-fixed-64k-chunk-count-increase-500m,c1.cdc.chunk-count,PASS,500m,-,524288000,0,727525209,0,418166,1112660958,875,0,0,1856735042,149726,,
overwrite-fixed-64k-chunk-count-preserve-100m,c1.cdc.chunk-count,PASS,100m,-,104857600,0,139158542,0,59833,218478625,459,0,0,366000000,149084,,
overwrite-fixed-64k-chunk-count-preserve-10m,c1.cdc.chunk-count,PASS,10m,-,10485760,0,15385708,0,75416,21877833,375,0,0,44535250,154238,,
overwrite-fixed-64k-chunk-count-preserve-1m,c1.cdc.chunk-count,PASS,1m,-,1048576,0,2354334,0,69125,2262667,41,0,0,11822583,159016,,
overwrite-fixed-64k-chunk-count-preserve-500m,c1.cdc.chunk-count,PASS,500m,-,524288000,0,698366166,0,88000,1095540042,791,0,0,1806597291,172494,,
overwrite-head-4k-100m,c1.edit.length-preserving,PASS,100m,-,104857600,0,141728666,0,165292,218063167,750,0,0,370329167,73855,,
overwrite-head-4k-10m,c1.edit.length-preserving,PASS,10m,-,10485760,0,15337000,0,148667,22014125,500,0,0,45261333,70303,,
overwrite-head-4k-1m,c1.edit.length-preserving,PASS,1m,-,1048576,0,2304958,0,81875,2340209,83,0,0,12287000,52799,,
overwrite-head-4k-500m,c1.edit.length-preserving,PASS,500m,-,524288000,0,718259042,0,260583,1096360083,1042,0,0,1831032708,90715,,
overwrite-middle-4k-100m,c1.edit.length-preserving,PASS,100m,-,104857600,0,141788083,0,258917,217864500,709,0,0,369810875,84675,,
overwrite-middle-4k-10m,c1.edit.length-preserving,PASS,10m,-,10485760,0,15095958,0,180791,21874750,375,0,0,45395417,76907,,
overwrite-middle-4k-1m,c1.edit.length-preserving,PASS,1m,-,1048576,0,2449041,0,85208,2298291,292,0,0,12697000,53131,,
overwrite-middle-4k-500m,c1.edit.length-preserving,PASS,500m,-,524288000,0,704881542,0,303292,1101110333,750,0,0,1822187583,101283,,
overwrite-tail-4k-100m,c1.edit.length-preserving,PASS,100m,-,104857600,0,140673250,0,137792,218755875,666,0,0,368760500,63923,,
overwrite-tail-4k-10m,c1.edit.length-preserving,PASS,10m,-,10485760,0,15476166,0,129417,22026917,375,0,0,45421125,62275,,
overwrite-tail-4k-1m,c1.edit.length-preserving,PASS,1m,-,1048576,0,2266416,0,72625,2302708,208,0,0,11760333,53011,,
