path                                                                           scope        prod  physical
crates/layerfs-daemon/src/main.rs                                              reference    1809      2253
crates/layerfs-daemon/src/protocol.rs                                          reference     827      1127
crates/layerfs-fuse/src/adapter.rs                                             reference     148       162
crates/layerfs-fuse/src/bin/layerfs-fuse.rs                                    reference     161       174
crates/layerfs-fuse/src/filesystem.rs                                          reference    1366      1438
crates/layerfs-fuse/src/handles.rs                                             reference      37        43
crates/layerfs-fuse/src/host_mount.rs                                          reference     103       112
crates/layerfs-fuse/src/immutable_read_cache.rs                                reference     194       322
crates/layerfs-fuse/src/inode_table.rs                                         reference      15        18
crates/layerfs-fuse/src/lib.rs                                                 reference      47        58
crates/layerfs-fuse/src/live_owner.rs                                          reference    2939      4279
crates/layerfs-fuse/src/live_runtime.rs                                        reference     316       529
crates/layerfs-fuse/src/live_transport.rs                                      reference     672       870
crates/layerfs-fuse/src/live_wire.rs                                           reference     653       896
crates/layerfs-fuse/src/local_spool.rs                                         reference     268       509
crates/layerfs-fuse/src/port.rs                                                reference     455       482
crates/layerfs-fuse/src/protocol.rs                                            reference     986      1357
crates/layerfs-fuse/src/proxy_client.rs                                        reference    1457      2118
crates/layerfs-fuse/src/proxy_host.rs                                          reference     403       433
crates/layerfs-fuse/src/write_metrics.rs                                       reference     766       869
crates/layerfs-layerstack-store/sql/branch/contains_commit.sql                 reference      10        14
crates/layerfs-layerstack-store/sql/branch/get.sql                             reference       3         7
crates/layerfs-layerstack-store/sql/branch/get_by_name.sql                     reference       3         7
crates/layerfs-layerstack-store/sql/branch/get_commit.sql                      reference       3         7
crates/layerfs-layerstack-store/sql/branch/history_page.sql                    reference      11        15
crates/layerfs-layerstack-store/sql/branch/insert.sql                          reference       2         6
crates/layerfs-layerstack-store/sql/branch/list.sql                            reference       9        13
crates/layerfs-layerstack-store/sql/branch/list_commits.sql                    reference       5         9
crates/layerfs-layerstack-store/sql/layerstack/advance_head.sql                reference       3         7
crates/layerfs-layerstack-store/sql/layerstack/current_head.sql                reference       1         5
crates/layerfs-layerstack-store/sql/layerstack/find_layer_by_source.sql        reference       3         7
crates/layerfs-layerstack-store/sql/layerstack/get.sql                         reference       3         7
crates/layerfs-layerstack-store/sql/layerstack/get_by_name.sql                 reference       3         7
crates/layerfs-layerstack-store/sql/layerstack/get_layer.sql                   reference       3         7
crates/layerfs-layerstack-store/sql/layerstack/history_page.sql                reference      11        15
crates/layerfs-layerstack-store/sql/layerstack/insert.sql                      reference       2         6
crates/layerfs-layerstack-store/sql/layerstack/insert_layer.sql                reference       2         6
crates/layerfs-layerstack-store/sql/layerstack/list.sql                        reference       5         9
